Panel,NEMSIS ID,NEMSIS Element Name,Usage/Card,Repeats,Target FHIR Resource,Target Profile,FHIR Path,Datatype Transform,Terminology / ConceptMap,NV handling,PN handling,mPSC Section,Status,Notes
eArrest,eArrest.07,AED Use Prior to EMS Arrival,R [1..1],No,Procedure/Observation,—,"Procedure (AED, performer=other)",code,—,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Procedures*,Mapped,Bystander/first responder
eArrest,eArrest.09,Type of CPR Provided,R [1..*],Yes,Procedure,—,Procedure (CPR).code,code,SNOMED,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Procedures*,Mapped,
eArrest,eArrest.10,Therapeutic Hypothermia by EMS,O,No,Procedure,—,Procedure (hypothermia),code,SNOMED,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Procedures*,Seeded,
eArrest,eArrest.11,First Monitored Arrest Rhythm,R [1..1],No,Observation,—,Observation (rhythm) valueCodeableConcept,code,rhythm ConceptMap (Asystole/VF/etc.),NV(7701xxx)→data-absent-reason,n/a,Vitals*,Mapped,
eArrest,eArrest.12,Any Return of Spontaneous Circulation,R [1..*],Yes,Observation,—,Observation (ROSC),code,—,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Problems,Mapped,
eArrest,eArrest.14,Date/Time of Cardiac Arrest,R [1..1],No,Observation,—,Observation.effectiveDateTime,dateTime,n/a,NV(7701xxx)→data-absent-reason,n/a,Problems,Mapped,
eArrest,eArrest.15,Date/Time Resuscitation Discontinued,RE [0..1],No,Procedure,—,Procedure.performedPeriod.end,dateTime,n/a,NV(7701xxx)→data-absent-reason,n/a,Procedures*,Mapped,
eArrest,eArrest.16,Reason CPR/Resuscitation Discontinued,R [1..1],No,Procedure,—,Procedure.statusReason / outcome,code,ConceptMap,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Procedures*,Mapped,
eArrest,eArrest.17,Cardiac Rhythm on Arrival at Destination,R [1..*],Yes,Observation,—,Observation (rhythm at dest),code,rhythm ConceptMap,NV(7701xxx)→data-absent-reason,n/a,Vitals*,Mapped,
eArrest,eArrest.18,End of EMS Cardiac Arrest Event,R [1..1],No,Observation,—,Observation valueCodeableConcept,code,ConceptMap,NV(7701xxx)→data-absent-reason,n/a,Problems,Mapped,
eArrest,eArrest.19-.22,CPR/AED/Defib initiation timing + who first,O/R,No,Procedure,—,Procedure.performer / performedDateTime,mixed,—,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Procedures*,Seeded,Note: eArrest.05/.06/.08 do not exist in 3.5
eHistory,eHistory.01,Barriers to Patient Care,R [1..*],Yes,Observation,—,Observation (barrier),code,ConceptMap (language/cultural/etc.),NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Social History*,Mapped,
eHistory,eHistory.02-.04,Patient's Practitioner Name,O,No,Practitioner/RelatedPerson,—,Patient.generalPractitioner→Practitioner,name,—,NV(7701xxx)→data-absent-reason,n/a,(subject),Seeded,
eHistory,eHistory.05,Advance Directives,RE [0..*],Yes,Consent / DocumentReference,—,Consent (advance directive),code,ConceptMap (DNR/POLST),NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Advance Directives*,Mapped,DNR/POLST clinically critical
eHistory,eHistory.06,Medication Allergies,RE [0..*],Yes,AllergyIntolerance,US Core AllergyIntolerance,AllergyIntolerance.code (category=medication),code,RxNorm/SNOMED,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Allergies,Mapped,PN=No Known Drug Allergy (8801013)
eHistory,eHistory.07,Environmental/Food Allergies,O [0..*],Yes,AllergyIntolerance,US Core AllergyIntolerance,AllergyIntolerance.code (category=environment/food),code,SNOMED,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Allergies,Mapped,
eHistory,eHistory.08,Medical/Surgical History,RE [0..*],Yes,Condition,US Core Condition (Problem),Condition.code (category=problem-list),code,"ICD-10-CM (source-coded, pass-through) [corrected 2026-08-06: 3.5.0 XSD pattern-verified; was SNOMED]",NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Problems,Mapped,Feeds Problems section
eHistory,eHistory.09,Medical History Obtained From,O [0..*],Yes,Provenance,—,Provenance.agent / Condition.asserter,code,source ConceptMap,NV(7701xxx)→data-absent-reason,n/a,Problems,Seeded,
eHistory,eHistory.10-.11,Immunization Type + Year,O,No,Immunization,US Core Immunization,Immunization.vaccineCode; occurrence,code/date,CVX ConceptMap,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Immunizations*,Seeded,Sparse in field data
eHistory,eHistory.12,Current Medications,RE [0..1],Yes,MedicationStatement,US Core Medication,MedicationStatement.medication (home meds),code,RxNorm,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Medication Summary,Mapped,Home meds → Med Summary section
eHistory,"eHistory.13-.15,.20",Current Med Dose/Unit/Route/Frequency,O,Yes,MedicationStatement,US Core Medication,MedicationStatement.dosage,dosage,UCUM/SNOMED route,NV(7701xxx)→data-absent-reason,n/a,Medication Summary,Seeded,
eHistory,eHistory.16,Presence of Emergency Information Form,O,No,DocumentReference,—,DocumentReference (EIF),code,—,NV(7701xxx)→data-absent-reason,n/a,(header),Seeded,
eHistory,eHistory.17,Alcohol/Drug Use Indicators,R [1..*],Yes,Observation,US Core Smoking/Social,Observation (substance use),code,SNOMED,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Social History*,Mapped,
eHistory,eHistory.18,Pregnancy,O,No,Observation,US Core Pregnancy Status,Observation (pregnancy status),code,LOINC 82810-3,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Problems,Mapped,
eHistory,eHistory.19,Last Oral Intake,O,No,Observation,—,Observation valueDateTime,dateTime,—,NV(7701xxx)→data-absent-reason,n/a,Problems,Mapped,Anesthesia-relevant
eVitals,eVitals.01,Date/Time Vital Signs Taken,R [1..1],Yes(group),Observation,US Core Vital Signs,Observation.effectiveDateTime (ALL in group),dateTime,n/a,NV(7701xxx)→data-absent-reason,n/a,Vital Signs*,Mapped,GROUP timestamp shared by all Observations from this VitalGroup
eVitals,eVitals.02,Obtained Prior to this Unit's EMS Care,R [1..1],Yes,(provenance),—,Observation.performer / Provenance (prior unit),boolean,—,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Vital Signs*,Mapped,"Provenance flag, NOT a measured value"
eVitals,eVitals.03,Cardiac Rhythm / ECG,R [1..*],Yes,Observation,—,Observation (ECG rhythm),code,rhythm ConceptMap,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Vital Signs*,Mapped,
eVitals,eVitals.04-.05,ECG Type / Method of Interpretation,R,Yes,Observation,—,Observation.method / component,code,ConceptMap,NV(7701xxx)→data-absent-reason,n/a,Vital Signs*,Seeded,
eVitals,eVitals.06,SBP (Systolic Blood Pressure),R [1..1],Yes,Observation,US Core Blood Pressure,"Observation component LOINC 8480-6, mmHg",integer→Quantity,LOINC 85354-9 panel,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Vital Signs*,Mapped,
eVitals,eVitals.07,DBP (Diastolic Blood Pressure),RE [0..1],Yes,Observation,US Core Blood Pressure,"Observation component LOINC 8462-4, mmHg",integer→Quantity,LOINC,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Vital Signs*,Mapped,Same BP Observation as .06
eVitals,eVitals.08,Method of Blood Pressure Measurement,RE [0..1],Yes,Observation,—,Observation.method,code,SNOMED,NV(7701xxx)→data-absent-reason,n/a,Vital Signs*,Mapped,
eVitals,eVitals.09,Mean Arterial Pressure,O,Yes,Observation,—,Observation LOINC 8478-0,integer→Quantity,LOINC,NV(7701xxx)→data-absent-reason,n/a,Vital Signs*,Seeded,
eVitals,eVitals.10,Heart Rate,R [1..1],Yes,Observation,US Core Heart Rate,"Observation LOINC 8867-4, /min",integer→Quantity,LOINC,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Vital Signs*,Mapped,
